"code", "display", "parent", "collect_description"
"impact", "Impact evaluation", null, "false"
"process", "Process evaluation", null, "false"
"economic", "Value for money evaluation", null, "false"
"other", "Other", null, "true"
"rct", "Randomised control trial (RCT)", "impact", "false"
"quasi_experimental", "Quasi-experimental method", "impact", "false"
"theory", "Theory-based methods", "impact", "false"
"generic", "Generic research method", "impact", "false"
"other_impact", "Other", "impact", "true"
"individual_process", "Individual interviews", "process", "false"
"group_process", "Focus groups or group interviews", "process", "false"
"case_study_process", "Case studies", "process", "false"
"surveys_process", "Surveys and polling", "process", "false"
"output_process", "Output or performance modelling", "process", "false"
"qualitative_process", "Qualitative observational studies", "process", "false"
"consultative_process", "Consultative/deliberative methods", "process", "false"
"other_process", "Other", "process", "true"
"effectiveness", "Cost-effectiveness analysis", "economic", "false"
"benefit", "Cost-benefit analysis", "economic", "false"
"utility", "Cost-utility analysis", "economic", "false"
"other_economic", "Other", "economic", "true"
"cluster", "Cluster RCT", "rct", "false"
"stepped", "Stepped wedge RCT", "rct", "false"
"waitlist", "Wait list RCT", "rct", "false"
"other_rct", "Other", "rct", "true"
"propensity", "Propensity score matching", "quasi_experimental", "false"
"timing", "Timing of events", "quasi_experimental", "false"
"interrupted", "Interrupted time series analysis", "quasi_experimental", "false"
"instrumental", "Instrumental variables", "quasi_experimental", "false"
"synthetic", "Synthetic control variables", "quasi_experimental", "false"
"difference", "Difference-in-difference", "quasi_experimental", "false"
"regression", "Regression discontinuity", "quasi_experimental", "false"
"other_quasi_experimental", "Other", "quasi_experimental", "true"
"qca", "Qualitative comparative analysis (QCA)", "theory", "false"
"realist", "Realist evaluation", "theory", "false"
"process_tracing", "Process tracing", "theory", "false"
"contribution_analysis", "Contribution analysis", "theory", "false"
"bayesian", "Bayesian updating", "theory", "false"
"contribution_tracing", "Contribution tracing", "theory", "false"
"significant", "Most significant change", "theory", "false"
"outcome", "Outcome harvesting", "theory", "false"
"simulation", "Simulation modelling", "theory", "false"
"other_theory", "Other", "theory", "true"
"individual_generic", "Individual interviews", "generic", "false"
"group_generic", "Focus groups or group interviews", "generic", "false"
"case_study_generic", "Case studies", "generic", "false"
"surveys_generic", "Surveys and polling", "generic", "false"
"output_generic", "Output or performance modelling", "generic", "false"
"qualitative_generic", "Qualitative observational studies", "generic", "false"
"consultative_generic", "Consultative/deliberative methods", "generic", "false"
"other_generic", "Other", "generic", "true"
