"code", "display", "parent"
"https://www.gov.uk/api/content/entering-staying-uk", "Entering and staying in the UK", null
"https://www.gov.uk/api/content/entering-staying-uk/travel-identity-documents-for-foreign-nationals", "Travel and identity documents for foreign nationals", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/immigration-offences", "Immigration offences", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/immigration-penalties", "Immigration penalties", "https://www.gov.uk/api/content/entering-staying-uk/immigration-offences"
"https://www.gov.uk/api/content/entering-staying-uk/immigration-detention", "Immigration detention", "https://www.gov.uk/api/content/entering-staying-uk/immigration-offences"
"https://www.gov.uk/api/content/entering-staying-uk/deportation-removals-curtailment", "Deportation, removals and curtailment", "https://www.gov.uk/api/content/entering-staying-uk/immigration-offences"
"https://www.gov.uk/api/content/entering-staying-uk/immigration-adviser-services", "Immigration adviser services", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/rights-foreign-nationals-uk", "Rights of foreign nationals in the UK", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/right-to-rent-in-the-UK", "Right to rent in the UK", "https://www.gov.uk/api/content/entering-staying-uk/rights-foreign-nationals-uk"
"https://www.gov.uk/api/content/entering-staying-uk/Foreign-nationals-working-in-UK", "Foreign nationals working in the UK", "https://www.gov.uk/api/content/entering-staying-uk/rights-foreign-nationals-uk"
"https://www.gov.uk/api/content/entering-staying-uk/rights-eu-eea-citizens", "Rights of EU and EEA citizens", "https://www.gov.uk/api/content/entering-staying-uk/rights-foreign-nationals-uk"
"https://www.gov.uk/api/content/entering-staying-uk/rights-nationals-from-outside-eu-eea", "Rights of nationals from outside the EU and EEA", "https://www.gov.uk/api/content/entering-staying-uk/rights-foreign-nationals-uk"
"https://www.gov.uk/api/content/entering-staying-uk/visas-immigration-corporate", "Visas and immigration corporate", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/border-control", "Border control", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/immigration-rules", "Immigration rules", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/refugees-asylum-human-rights", "Refugee, asylum and human rights", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/asylum-children", "Asylum for children", "https://www.gov.uk/api/content/entering-staying-uk/refugees-asylum-human-rights"
"https://www.gov.uk/api/content/entering-staying-uk/asylum-decisions-appeals", "Asylum decisions and appeals", "https://www.gov.uk/api/content/entering-staying-uk/refugees-asylum-human-rights"
"https://www.gov.uk/api/content/entering-staying-uk/asylum-refugee-human-rights-claims", "Refugee, asylum and human rights claims", "https://www.gov.uk/api/content/entering-staying-uk/refugees-asylum-human-rights"
"https://www.gov.uk/api/content/entering-staying-uk/support-asylum-claimants-refugees", "Support for asylum claimants and refugees", "https://www.gov.uk/api/content/entering-staying-uk/refugees-asylum-human-rights"
"https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance", "Visas and entry clearance", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/visa-applications", "Visa applications", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/visa-refusals-appeals", "Visa refusals and appeals", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/family-visas", "Family visas", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/student-visas", "Student visas", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/tuberculosis-testing", "Tuberculosis (TB) testing", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/visa-sponsorship", "Visa sponsorship", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/visa-application-centres", "Visa application centres", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/visit-and-transit-visas", "Visit and transit visas", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/work-and-investor-visas", "Work and investor visas", "https://www.gov.uk/api/content/entering-staying-uk/visas-entry-clearance"
"https://www.gov.uk/api/content/entering-staying-uk/permanent-stay-uk", "Permanent stay in the UK", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/entering-staying-uk/settlement", "Settlement", "https://www.gov.uk/api/content/entering-staying-uk/permanent-stay-uk"
"https://www.gov.uk/api/content/entering-staying-uk/citizenship", "Citizenship", "https://www.gov.uk/api/content/entering-staying-uk/permanent-stay-uk"
"https://www.gov.uk/api/content/entering-staying-uk/inspections-of-border-immigration-asylum-services", "Inspections of border, immigration and asylum services", "https://www.gov.uk/api/content/entering-staying-uk"
"https://www.gov.uk/api/content/going-and-being-abroad", "Going and being abroad", null
"https://www.gov.uk/api/content/going-and-being-abroad/travel-abroad", "Travel abroad [M]", "https://www.gov.uk/api/content/going-and-being-abroad"
"https://www.gov.uk/api/content/going-and-being-abroad/passports", "Passports [M]", "https://www.gov.uk/api/content/going-and-being-abroad"
"https://www.gov.uk/api/content/going-and-being-abroad/british-nationals-overseas", "British nationals overseas", "https://www.gov.uk/api/content/going-and-being-abroad"
"https://www.gov.uk/api/content/going-and-being-abroad/living-abroad", "Living abroad (level 2)", "https://www.gov.uk/api/content/going-and-being-abroad"
"https://www.gov.uk/api/content/education", "Education, training and skills", null
"https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training", "Further and higher education, skills and vocational training", "https://www.gov.uk/api/content/education"
"https://www.gov.uk/api/content/education/education-in-prisons", "Education in prisons", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/further-education-funding", "Further education funding", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/administering-student-funding", "Administering student funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/further-education-funding-data", "Further education funding data", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/further-education-building-and-premises", "Further education buildings and land", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/free-meals-for-16-to-18-year-olds", "Free meals for 16 to 18 year olds", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/apprenticeships-funding", "Apprenticeships funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/dance-and-drama-funding-for-16-to-19-year-olds", "Dance and drama funding for 16 to 19 year olds", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/european-social-fund-esf-and-skills-funding", "European Social Fund (ESF) and skills funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/adult-education-funding", "Adult education funding", "https://www.gov.uk/api/content/education/further-education-funding"
"https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships", "Apprenticeships, traineeships and internships", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/becoming-an-intern-or-trainee", "Becoming an intern or trainee", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/becoming-an-apprentice", "Becoming an apprentice", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/hiring-and-training-an-apprentice", "Hiring and training an apprentice", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/hiring-and-training-and-intern-or-trainee", "Hiring and training an intern or trainee", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/types-of-apprenticeships", "Types of apprenticeships", "https://www.gov.uk/api/content/education/apprenticeships-traineeships-and-internships"
"https://www.gov.uk/api/content/education/careers-guidance-in-further-and-higher-education", "Careers guidance in further and higher education", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection", "Further education financial management and data collection", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/local-authority-further-education-financial-reporting-and-assurance", "Local authority further education financial reporting and assurance", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/data-collection-for-further-education-providers", "Data collection for further education providers", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/financial-management-for-further-education-providers", "Financial management for further education providers", "https://www.gov.uk/api/content/education/further-education-financial-management-and-data-collection"
"https://www.gov.uk/api/content/education/adult-and-community-learning", "Adult and community learning", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications", "Further and higher education courses and qualifications", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/principal-learning-qualifications", "Principal learning qualifications", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/functional-skills", "Functional skills", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/t-levels", "T levels", "https://www.gov.uk/api/content/education/further-and-higher-education-courses-and-qualifications"
"https://www.gov.uk/api/content/education/running-a-further-or-higher-education-institution", "Running a further or higher education institution", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
"https://www.gov.uk/api/content/education/learning-records-service-lrs", "Learning Records Service (LRS)", "https://www.gov.uk/api/content/education/further-and-higher-education-skills-and-vocational-training"
